Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 27, TIDL_ConvolutionLayer, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, L2, DMA, 64, 64, 384, 26112, 0, 11080, ,,,,,,,, 
 28, TIDL_ConvolutionLayer, 384, 32, 32, 384, 32, 32, 1,  COL, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, L2, DMA, 10, 10, 2304, 23040, 0, 60080, ,,,,,,,, 
 29, TIDL_ConvolutionLayer, 384, 32, 32, 64, 32, 32, 384, ROW_L, 0, 0, 512, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1088, 1088, 384, 417920, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 11000, ,,,,,,,, L2, DMA, 448, 384, 64, 28928, 0, 66080, ,,,,,,,, 
 30, TIDL_EltWiseLayer, 128, 32, 32, 64, 32, 32, 128,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 64, 139264, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 31, TIDL_ConvolutionLayer, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, L2, DMA, 64, 64, 384, 26112, 0, 11080, ,,,,,,,, 
 32, TIDL_ConvolutionLayer, 384, 32, 32, 384, 32, 32, 1,  COL, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, L2, DMA, 10, 10, 2304, 23040, 0, 60080, ,,,,,,,, 
 33, TIDL_ConvolutionLayer, 384, 32, 32, 64, 32, 32, 384, ROW_L, 0, 0, 512, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1088, 1088, 384, 417920, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 11000, ,,,,,,,, L2, DMA, 448, 384, 64, 28928, 0, 66080, ,,,,,,,, 
 34, TIDL_EltWiseLayer, 128, 32, 32, 64, 32, 32, 128,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 64, 139264, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 35, TIDL_ConvolutionLayer, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, L2, DMA, 64, 64, 384, 26112, 0, 11080, ,,,,,,,, 
 36, TIDL_ConvolutionLayer, 384, 32, 32, 384, 32, 32, 1,  COL, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, L2, DMA, 10, 10, 2304, 23040, 0, 60080, ,,,,,,,, 
