Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 58, TIDL_ConvolutionLayer, 960, 32, 32, 960, 32, 32, 1,  COL, 0, 0, 1024, 1024, 5, 1, 5,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 960, 1044480, 0, 2a800, ,,,,,,,, L2, DMA, 10, 10, 5760, 57600, 0, 60080, ,,,,,,,, 
 59, TIDL_ConvolutionLayer, 960, 32, 32, 160, 32, 32, 960, ROW_L, 0, 0, 64, 1024, 16, 1, 16,,,,,,,,, L2, DMA, 192, 192, 960, 185344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 160, 174080, 0, 2a800, ,,,,,,,, L2, DMA, 960, 960, 160, 154240, 0, 2d400, ,,,,,,,, 
 60, TIDL_EltWiseLayer, 320, 32, 32, 160, 32, 32, 320,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 160, 348160, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 160, 174080, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 61, TIDL_ConvolutionLayer, 160, 32, 32, 960, 32, 32, 160, ROW_L, 0, 0, 768, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1600, 1600, 160, 256128, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 960, 1044480, 0, 0, ,,,,,,,, L2, DMA, 192, 160, 960, 188160, 0, 3e880, ,,,,,,,, 
 62, TIDL_ConvolutionLayer, 960, 32, 32, 960, 32, 32, 1,  COL, 0, 0, 1024, 1024, 5, 1, 5,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 960, 1044480, 0, 0, ,,,,,,,, L2, DMA, 10, 10, 5760, 57600, 0, 60080, ,,,,,,,, 
 63, TIDL_ConvolutionLayer, 960, 32, 32, 320, 32, 32, 960, ROW_L, 0, 0, 64, 1024, 16, 1, 16,,,,,,,,, L2, DMA, 128, 128, 960, 123904, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 320, 348160, 0, ff000, ,,,,,,,, L2, DMA, 960, 960, 320, 308480, 0, 1e400, ,,,,,,,, 
 64, TIDL_ConvolutionLayer, 320, 32, 32, 256, 32, 32, 320, ROW_L, 0, 0, 512, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1088, 1088, 320, 348288, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 256, 278528, 0, 0, ,,,,,,,, L2, DMA, 320, 320, 256, 82944, 0, 55080, ,,,,,,,, 
 65, TIDL_ConvolutionLayer, 320, 32, 32, 320, 32, 32, 1,  COL, 0, 0, 1024, 1024, 160, 1, 160,,,,,,,,, L2, DMA, 1024, 1024, 4, 4224, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 320, 348160, 0, 44000, ,,,,,,,, L2, DMA, 10, 10, 1920, 19200, 0, 1080, ,,,,,,,, 
 66, TIDL_ConvolutionLayer, 320, 32, 32, 256, 32, 32, 320, ROW_L, 0, 0, 512, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1088, 1088, 320, 348288, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 256, 278528, 0, 44000, ,,,,,,,, L2, DMA, 320, 320, 256, 82944, 0, 55080, ,,,,,,,, 
 67, TIDL_ConvolutionLayer, 320, 32, 32, 320, 32, 32, 1,  COL, 0, 0, 1024, 1024, 320, 1, 320,,,,,,,,, L2, DMA, 1024, 1024, 2, 2176, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 320, 348160, 0, 88000, ,,,,,,,, L2, DMA, 10, 10, 1920, 19200, 0, 880, ,,,,,,,, 
 68, TIDL_ConvolutionLayer, 320, 32, 32, 256, 32, 32, 320, ROW_L, 0, 0, 512, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1088, 1088, 320, 348288, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 256, 278528, 0, 88000, ,,,,,,,, L2, DMA, 320, 320, 256, 82944, 0, 55080, ,,,,,,,, 
 69, TIDL_ConvolutionLayer, 320, 32, 32, 320, 32, 32, 1,  COL, 0, 0, 1024, 1024, 320, 1, 320,,,,,,,,, L2, DMA, 1024, 1024, 2, 2176, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 320, 348160, 0, cc000, ,,,,,,,, L2, DMA, 10, 10, 1920, 19200, 0, 880, ,,,,,,,, 
 70, TIDL_ConvolutionLayer, 320, 32, 32, 256, 32, 32, 320, ROW_L, 0, 0, 512, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1088, 1088, 320, 348288, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 256, 278528, 0, cc000, ,,,,,,,, L2, DMA, 320, 320, 256, 82944, 0, 55080, ,,,,,,,, 
 71, TIDL_ConcatLayer, 1024, 32, 32, 1024, 32, 32, 1024,  COL, 0, 0, 1024, 1024, 8, 0, 8,,,,,,,,, L2, DMA, 1088, 1088, 256, 278528, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1088, 1024, 1114112, 32, 110060, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 72, TIDL_ConvolutionLayer, 1024, 32, 32, 256, 32, 32, 1024, ROW_L, 0, 0, 64, 1024, 16, 1, 16,,,,,,,,, L2, DMA, 128, 128, 1024, 132096, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1088, 256, 278528, 32, 60, ,,,,,,,, L2, DMA, 1088, 1024, 256, 279552, 0, 20400, ,,,,,,,, 
 73, TIDL_ResizeLayer, 256, 32, 32, 256, 128, 128, 256,  COL, 0, 0, 1088, 1088, 32, 0, 32,,,,,,,,, L2, DMA, 1088, 1088, 16, 17408, 0, 0, MSMC, CPU, 17984, 17920, 16, 287744, 0, 44080, DDR, DMA, 16896, 16896, 256, 4326400, 256, 1ff480, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 74, TIDL_ConcatLayer, 304, 128, 128, 304, 128, 128, 304,  COL, 0, 0, 16384, 16384, 38, 0, 38,,,,,,,,, L2, DMA, 17024, 17024, 16, 272384, 0, 0, MSMC, CPU, 16448, 16384, 16, 263168, 0, 0, DDR, DMA, 16384, 16384, 304, 4981760, 0, 61f880, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 75, TIDL_ConvolutionLayer, 304, 128, 128, 304, 128, 128, 1,  COL, 0, 0, 16384, 16384, 38, 1, 38,,,,,,,,, L2, DMA, 16384, 16384, 16, 262272, 0, 0, MSMC, CPU, 16448, 16384, 16, 263168, 0, 0, DDR, DMA, 16640, 16640, 304, 5059584, 128, c0400, ,,,,,,,, L2, DMA, 10, 10, 1824, 18304, 0, 40080, ,,,,,,,, 
 76, TIDL_ConvolutionLayer, 304, 128, 128, 2, 128, 128, 304, ROW_L, 0, 0, 640, 16384, 26, 1, 26,,,,,,,,, L2, DMA, 1344, 1344, 304, 424064, 0, 0, ,,,,,,,, MSMC, CPU, 16704, 16640, 2, 33408, 128, 81080, ,,,,,,,, L2, DMA, 320, 304, 2, 768, 0, 67880, ,,,,,,,, 
 77, TIDL_ResizeLayer, 2, 128, 128, 2, 512, 512, 2,  COL, 256, 0, 1024, 16640, 36, 0, 36,,,,,,,,, L2, DMA, 2560, 2560, 1, 2560, 0, 0, ,,,,,,,, MSMC, CPU, 264192, 264192, 2, 528384, 1024, 80, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 78, TIDL_ArgMaxLayer, 2, 512, 512, 1, 512, 512, 2, ROW_L, 0, 0, 64512, 262144, 5, 0, 5,,,,,,,,, L2, DMA, 129088, 129088, 2, 451712, 0, 0, MSMC, CPU, 64576, 64512, 1, 129152, 0, 81080, DDR, DMA, 387456, 262144, 1, 388480, 0, c0400, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 79, TIDL_DataLayer, 1, 512, 512, 0, 0, 0, 1, FRAME, 0, 0, 262144, 262144, 1, 0, 1,,,,,,,,, L2, DMA, 0, 262144, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 262144, 0, 0, 787456, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
